"Reservoir","Site","Depth_m","Temp_C","DO_mgL","DOsat_percent","Cond_uScm","SpCond_uScm","Chla_ugL","Turbidity_NTU","pH","ORP_mV","PAR_umolm2s","DescRate_ms","Flag_DateTime","Flag_Temp_C","Flag_DO_mgL","Flag_DOsat_percent","Flag_Cond_uScm","Flag_SpCond_uScm","Flag_Chla_ugL","Flag_Turbidity_NTU","Flag_pH","Flag_ORP_mV","Flag_PAR_umolm2s","Flag_DescRate_ms","Date","Year","DO_mgL_ysi","Temp_C_ysi","pH_ysi","DO_pSat_ysi","method","max","Depth_m_orig"
"BVR",50,10.9,21.5335,9.44031,NA,24.944245,NA,3.8563,0.8274,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2014-05-14,2014,NA,NA,NA,NA,NA,11,0.1
"BVR",50,10.9,23.5578,7.70516,NA,26.801861,NA,1.0553,0.2903,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2014-06-04,2014,NA,NA,NA,NA,NA,11,0.1
"BVR",50,10.9,26.5018,7.39451,NA,28.111264,NA,0.5634,0.5085,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2014-06-18,2014,NA,NA,NA,NA,NA,11,0.1
"BVR",50,10.9,26.6621,7.59363,NA,28.614118,NA,1.7814,0.5589,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2014-06-25,2014,NA,NA,NA,NA,NA,11,0.1
"BVR",50,10.9,27.5475,7.76617,NA,29.32652,NA,1.3212,0.6932,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2014-07-02,2014,NA,NA,NA,NA,NA,11,0.1
"BVR",50,10.9,25.7579,7.22811,NA,28.152984,NA,1.9083,1.096,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2014-07-16,2014,NA,NA,NA,NA,NA,11,0.1
"BVR",50,10.9,25.9965,7.84978,NA,28.581747,NA,1.5433,1.2638,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2014-07-23,2014,NA,NA,NA,NA,NA,11,0.1
"BVR",50,10.9,24.2081,7.17048,NA,27.509008,NA,1.0236,1.3813,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2014-07-30,2014,NA,NA,NA,NA,NA,11,0.1
"BVR",50,10.7,21.6129,7.14981,NA,25.856886,NA,1.2537,4.1844,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2014-08-13,2014,NA,NA,NA,NA,NA,10.8,0.1
"BVR",50,10.8,25.8837,7.48408,NA,28.671506,NA,2.8565,0.8274,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2014-09-04,2014,NA,NA,NA,NA,NA,10.9,0.1
"BVR",50,10.9,19.3937,7.46792,NA,26.170014,NA,1.8448,1.0121,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2014-09-25,2014,NA,NA,NA,NA,NA,11,0.1
"BVR",50,10.5,13.4511,8.31572,NA,23.635137,NA,1.6743,2.6402,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2014-10-23,2014,NA,NA,NA,NA,NA,10.6,0.1
"BVR",50,10.5,20.1053,6.374,NA,24.168802,NA,2.2535,4.5885,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2015-05-21,2015,NA,NA,NA,NA,NA,10.6,0.1
"BVR",50,10.7,24.7237,7.43713,NA,27.612912,NA,0.4523,1.3441,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2015-06-11,2015,NA,NA,NA,NA,NA,10.8,0.1
"BVR",50,10.8,28.4684,7.50185,NA,29.632428,NA,20.3327,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,2,5,5,5,5,2015-06-18,2015,NA,NA,NA,NA,NA,10.9,0.1
"BVR",50,10.5,27.1113,7.31937,NA,29.000122,NA,0.8768,2.168,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2015-06-19,2015,NA,NA,NA,NA,NA,10.6,0.1
"BVR",50,10.4,27.9371,7.36609,NA,30.383447,NA,2.555,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,2,5,5,5,5,2015-06-25,2015,NA,NA,NA,NA,NA,10.5,0.1
"BVR",50,10.4,25.3714,7.54651,NA,29.280761,NA,1.0633,2.4255,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2015-07-02,2015,NA,NA,NA,NA,NA,10.5,0.1
"BVR",50,10.8,25.0477,7.47452,NA,28.891497,NA,1.2616,2.3569,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2015-07-09,2015,NA,NA,NA,NA,NA,10.9,0.1
"BVR",50,10.7,25.876,7.58102,NA,29.151052,NA,2.2376,2.7689,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2015-07-16,2015,NA,NA,NA,NA,NA,10.8,0.1
"BVR",50,10.7,27.0723,7.56199,NA,30.147332,NA,1.9202,2.5114,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2015-07-23,2015,NA,NA,NA,NA,NA,10.8,0.1
"BVR",50,10.7,27.6016,5.82715,NA,30.921998,NA,1.7695,2.477,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2015-07-30,2015,NA,NA,NA,NA,NA,10.8,0.1
"BVR",50,10.9,25.2975,5.39383,NA,26.749625,NA,0.8172,0.1857,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2016-06-07,2016,NA,NA,NA,NA,NA,11,0.1
"BVR",50,10.9,24.0375,7.44431,NA,26.089353,NA,1.6576,1.9274,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2016-06-08,2016,NA,NA,NA,NA,NA,11,0.1
"BVR",50,10.8,24.3533,8.01684,NA,26.798511,NA,0.6474,1.7077,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2016-06-16,2016,NA,NA,NA,NA,NA,10.9,0.1
"BVR",50,10.9,24.4408,8.07752,NA,33.463504,NA,5.2938,2.5302,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2016-09-06,2016,NA,NA,NA,NA,NA,11,0.1
"BVR",50,10.9,23.6904,5.53069,NA,28.179353,NA,9.7589,2.8276,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2016-09-16,2016,NA,NA,NA,NA,NA,11,0.1
"BVR",50,10.9,23.6446,5.80174,NA,27.769832,NA,6.8814,2.6139,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2016-09-17,2016,NA,NA,NA,NA,NA,11,0.1
"BVR",50,10.9,22.3727,5.29641,NA,30.542583,NA,4.1265,2.7879,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2016-09-27,2016,NA,NA,NA,NA,NA,11,0.1
"BVR",50,10.9,16.6438,5.74384,NA,23.995873,NA,1.2391,2.7389,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2016-10-11,2016,NA,NA,NA,NA,NA,11,0.1
"BVR",50,10.9,13.1832,6.94835,NA,28.241399,NA,1.7426,7.6636,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,5,5,5,2016-11-11,2016,NA,NA,NA,NA,NA,11,0.1
"BVR",50,10.9,17.6876,8.85413,NA,22.290604,NA,0.9942,1.281,NA,NA,NA,NA,7,0,0,0,0,1,0,0,5,5,5,5,2017-05-05,2017,NA,NA,NA,NA,NA,11,0.1
"BVR",50,10.8,15.7904,7.11656,NA,21.367256,NA,1.6801,2.1188,NA,NA,NA,NA,7,0,0,0,0,1,0,0,5,5,5,5,2017-05-10,2017,NA,NA,NA,NA,NA,10.9,0.1
"BVR",50,10.6,26.2086,8.3707,NA,27.255051,NA,NA,NA,8.437,245.4166,NA,NA,7,0,0,0,0,1,1,1,0,0,5,5,2017-06-15,2017,NA,NA,NA,NA,NA,10.7,0.1
"BVR",50,10.4,24.3461,9.1216,NA,27.979692,NA,NA,NA,9.04,253.2929,NA,NA,7,0,0,0,0,1,1,1,0,0,5,5,2017-06-29,2017,NA,NA,NA,NA,NA,10.5,0.1
"BVR",50,9.4,26.3055,NA,NA,30.161258,NA,NA,NA,8.448,238.5434,NA,NA,7,0,1,1,0,1,1,1,0,0,5,5,2017-08-24,2017,NA,NA,NA,NA,NA,9.5,0.1
"BVR",50,9.7,19.345,NA,NA,26.606068,NA,NA,NA,7.143,323.8243,NA,NA,7,0,1,1,0,1,1,1,0,0,5,5,2017-10-17,2017,NA,NA,NA,NA,NA,9.8,0.1
