"Year","Date","PeakWidth_GreenAlgae_m","PeakWidth_Bluegreens_m","PeakWidth_BrownAlgae_m","PeakWidth_MixedAlgae_m","PeakWidth_TotalConc_m"
2021,2021-03-08,2.99,5.54,6.08,1.65,6.22
2021,2021-04-05,2.81,3.83,5.52,0.19,4.01
2021,2021-05-03,4.94,6.11,4.46,2.32,5.09
2021,2021-05-14,3,4.53,2.18,4.43,2.69
2021,2021-05-31,3.9,4.58,4.17,2.93,4.88
2021,2021-06-15,2.47,2.74,1.7,1.53,2.13
2021,2021-06-28,2.07,3.49,4.68,1.83,3.07
2021,2021-07-26,1.96,3.31,2.41,2.37,2.74
2021,2021-08-09,1.44,2.75,2.32,0.78,2.93
2021,2021-08-23,2.63,2.43,2.11,1.5,2.16
2021,2021-09-06,0.17,0.27,1.14,0.78,0.68
2021,2021-10-12,3.12,5.26,4.42,0.95,4.42
2021,2021-10-26,0.75,2.51,7.21,0.06,7.21
2021,2021-11-09,0.73,0.3,0.72,0.79,1.23
2021,2021-11-22,0.51,0.180000000000001,0.13,1.05,0.47
2021,2021-12-06,0.800000000000001,0.5,1.49,1.29,1.69
2022,2022-02-24,4.31,4.99,0.26,0,4.31
2022,2022-03-22,3.95,5.63,4.5,0.19,4.73
2022,2022-04-12,3.48,4.06,3.18,0.56,3.04
2022,2022-05-02,0.0899999999999999,3.77,2.04,0.0899999999999999,2.46
2022,2022-05-12,4.24,3.85,4.23,2.35,4.28
2022,2022-05-17,4.08,4.45,3.64,2.67,3.77
2022,2022-05-23,1.45,3.89,3.34,0.859999999999999,1.45
2022,2022-05-31,1.53,2.19,2.1,0.13,2.25
2022,2022-06-07,2.54,1.39,2.79,0.48,1.08
2022,2022-06-13,1.81,1.03,1.96,1.16,1.03
2022,2022-06-20,1.73,0.54,0.71,0.04,2.16
2022,2022-06-27,1.11,0.79,1.15,0.0900000000000003,1.33
2022,2022-07-05,3.13,1.28,1.53,1,1.38
2022,2022-07-11,0.13,1.84,0.61,1.55,2.1
2022,2022-07-18,1.57,4.85,0.8,1.48,2.34
2022,2022-07-25,1.15,4.71,0.5,0.36,2.72
2022,2022-08-01,1.61,2.3,0.9,0.22,2.08
2022,2022-08-08,2.62,2.08,1.85,0.89,1.63
2022,2022-08-18,3.99,1.61,1.03,0.71,1.06
2022,2022-08-22,4.14,2.17,1.07,0.87,2.17
2022,2022-09-06,1.69,3.11,1.13,0.52,1.53
2022,2022-09-19,2.56,2.13,1.31,0.9,1.31
2022,2022-10-11,1.31,2.62,0.0299999999999999,1.93,1.54
2022,2022-10-24,3.56,2.57,1.93,3.11,3.56
2022,2022-11-16,0.16,0.0799999999999998,0.69,0.16,0.42
2022,2022-11-28,0.11,0.08,0.13,0.0899999999999999,0.18
2022,2022-12-16,1.29,0.14,0.0999999999999996,0.17,0.0999999999999996
